"","function","harm","melody","beat_pos","duration","scale_deg","approaching","key","file","ArrByRest","DepByRest","depart","Response","Chordnotes"
"670","2T","I","[4a","1","1","1","-M3","A","cat_themes.krn","0","0","P1",NA,NA
"672","2T","I","8aL]","1","0.5","1","P1","A","cat_themes.krn","0","0","+M3",NA,NA
"673","2T","I","16cc#L","2.5","0.25","3","+M3","A","cat_themes.krn","0","0","+m3",NA,NA
"674","2T","I","16eeJJ","2.75","0.25","5","+m3","A","cat_themes.krn","0","0","-M2",NA,NA
"675","4P","ii","8dd'L","1","0.5","4","-M2","A","cat_themes.krn","0","0","-m2",NA,NA
"676","4P","ii","8cc#'J","1.5","0.5","3","-m2","A","cat_themes.krn","0","0","-M2",NA,NA
"677","4D","V","8.bL","2","0.75","2","-M2","A","cat_themes.krn","0","0","-M2",NA,NA
"678","4D","V","32aLL","2.75","0.125","1","-M2","A","cat_themes.krn","0","0","+M2",NA,NA
"679","4D","V","32bJJJ","2.875","0.125","2","+M2","A","cat_themes.krn","0","0","-M2",NA,NA
"680","4T","I","4a","1","1","1","-M2","A","cat_themes.krn","0","0","[ee]",NA,NA
"681","4T","I","4ee","3","1","3","[ee]","C","cat_themes.krn","0","0","P1",NA,NA
"682","2.T","I","2ee","1","2","3","P1","C","cat_themes.krn","0","0","-M3",NA,NA
"683","2.T","I","4cc","3","1","1","-M3","C","cat_themes.krn","0","0","+P4",NA,NA
"684","2T","IV","2ff","1","2","4","+P4","C","cat_themes.krn","0","0","-m2",NA,NA
"685","4T","I","4ee","3","1","3","-m2","C","cat_themes.krn","0","0","P1",NA,NA
"686","2T","I","2ee","1","2","3","P1","C","cat_themes.krn","0","0","-M2",NA,NA
"687","4T","viio","4dd","3","1","2","-M2","C","cat_themes.krn","0","0","-M2",NA,NA
"688","2.T","I","2cc","1","2","1","-M2","C","cat_themes.krn","0","0","P1",NA,NA
"690","2.T","I","4cc","3","1","1","P1","C","cat_themes.krn","0","0","+M2",NA,NA
"691","2T","V","2dd","1","2","2","+M2","C","cat_themes.krn","0","0","+M2",NA,NA
"692","4T","I","4ee","3","1","3","+M2","C","cat_themes.krn","0","0","+m2",NA,NA
"693","2P","ii","4ff","1","1","4","+m2","C","cat_themes.krn","0","0","P1",NA,NA
"694","2P","ii","2ff","2","2","4","P1","C","cat_themes.krn","0","0","-m3",NA,NA
"696","2.D","V","[2.dd","1","3","2","-m3","C","cat_themes.krn","0","0","P1",NA,NA
"698","2D","V","4dd]","1","1","2","P1","C","cat_themes.krn","0","1","[dd]",NA,NA
"700","4D","V","4dd","3","1","2","[dd]","C","cat_themes.krn","1","0","P1",NA,NA
"701","2.D","V","2dd","1","2","2","P1","C","cat_themes.krn","0","0","P1",NA,NA
"702","2.D","V","4dd","3","1","2","P1","C","cat_themes.krn","0","0","-M2",NA,NA
"703","2.D","ii/V[vi]","2cc","1","2","1","-M2","C","cat_themes.krn","0","0","P1",NA,NA
"704","2.D","ii/V[vi]","4cc","3","1","1","P1","C","cat_themes.krn","0","0","-m3",NA,NA
"705","2.D","V/V","[2.a","1","3","6","-m3","C","cat_themes.krn","0","0","P1",NA,NA
"708","2D","V/V","2a]","1","2","6","P1","C","cat_themes.krn","0","0","+P4",NA,NA
"710","4D","V7/V","4dd","3","1","2","+P4","C","cat_themes.krn","0","0","-m3",NA,NA
"711","2D","I/V","2b","1","2","7","-m3","C","cat_themes.krn","0","0","-M3",NA,NA
"712","4D","I/V","4g","3","1","5","-M3","C","cat_themes.krn","0","0","+P4",NA,NA
"713","2P","IV/V","2cc","1","2","1","+P4","C","cat_themes.krn","0","0","+M3",NA,NA
"714","4P","IV/V","4ee","3","1","3","+M3","C","cat_themes.krn","0","0","-P4",NA,NA
"715","2D","C/V","2b","1","2","7","-P4","C","cat_themes.krn","0","0","-M2",NA,NA
"716","4D","V7/V","4a","3","1","6","-M2","C","cat_themes.krn","0","0","-M2",NA,NA
"717","2.T","I/V","2.g","1","3","5","-M2","C","cat_themes.krn","0","0","[dd]",NA,NA
"718","2D","V","4dd","1","1","2","[dd]","C","cat_themes.krn","0","0","+M2",NA,NA
"719","2D","V","4ee","2","1","3","+M2","C","cat_themes.krn","0","0","+m2",NA,NA
"720","4D","V7/IV","4ff","3","1","4","+m2","C","cat_themes.krn","0","0","+M2",NA,NA
"721","2T","iii","2gg","1","2","5","+M2","C","cat_themes.krn","0","0","P1",NA,NA
"723","4T","iii","4gg","3","1","5","P1","C","cat_themes.krn","0","0","P1",NA,NA
"724","2P","ii","4gg","1","1","5","P1","C","cat_themes.krn","0","0","-M2",NA,NA
"725","2P","ii","4ff","2","1","4","-M2","C","cat_themes.krn","0","0","-m2",NA,NA
"726","4P","V/ii","4ee","3","1","3","-m2","C","cat_themes.krn","0","0","+m2",NA,NA
"727","2.P","ii","2.ff","1","3","4","+m2","C","cat_themes.krn","0","0","P1",NA,NA
"730","2.D","V","4ff","1","1","4","P1","C","cat_themes.krn","0","0","-m3",NA,NA
"731","2.D","V","4dd","2","1","2","-m3","C","cat_themes.krn","0","0","P1",NA,NA
"732","2.D","V","4dd","3","1","2","P1","C","cat_themes.krn","0","0","+m3",NA,NA
"733","2.D","V7","2.ff","1","3","4","+m3","C","cat_themes.krn","0","0","-m2",NA,NA
"736","2.T","I","4ee","1","1","3","-m2","C","cat_themes.krn","0","0","-M3",NA,NA
"737","2.T","I","4cc","2","1","1","-M3","C","cat_themes.krn","0","0","P1",NA,NA
"738","2.T","I","4cc","3","1","1","P1","C","cat_themes.krn","0","0","+M2",NA,NA
"739","2D","V","2dd","1","2","2","+M2","C","cat_themes.krn","0","0","[ee]",NA,NA
"740","4T","I","4ee","3","1","3","[ee]","C","cat_themes.krn","0","0","P1",NA,NA
"741","2.T","I","2ee","1","2","3","P1","C","cat_themes.krn","0","0","-M3",NA,NA
"742","2.T","I","4cc","3","1","1","-M3","C","cat_themes.krn","0","0","+P4",NA,NA
"743","2T","IV","2ff","1","2","4","+P4","C","cat_themes.krn","0","0","-m2",NA,NA
"744","4T","I","4ee","3","1","3","-m2","C","cat_themes.krn","0","0","P1",NA,NA
"745","2.T","I","2ee","1","2","3","P1","C","cat_themes.krn","0","0","-M2",NA,NA
"746","2.T","I","4dd","3","1","2","-M2","C","cat_themes.krn","0","0","-M2",NA,NA
"747","2T","I","2cc","1","2","1","-M2","C","cat_themes.krn","0","0","P1",NA,NA
"748","4T","I","4cc","3","1","1","P1","C","cat_themes.krn","0","0","+M2",NA,NA
"749","2P","ii","4dd","1","1","2","+M2","C","cat_themes.krn","0","0","+m3",NA,NA
"750","2P","ii","2ff","2","2","4","+m3","C","cat_themes.krn","0","0","-d5",NA,NA
"752","2.D","V","2.b","1","3","7","-d5","C","cat_themes.krn","0","0","+m2",NA,NA
"754","2.T","I","[2.cc","1","3","1","+m2","C","cat_themes.krn","0","0","P1",NA,NA
"757","2T","I","4cc]","1","1","1","P1","C","cat_themes.krn","0","1","[b-]",NA,NA
"759","1T","I","4b-'","1","1","1","[b-]","B-","cat_themes.krn","1","0","P1",NA,NA
"761","1T","I","(16b-LL","2","0.25","1","P1","B-","cat_themes.krn","0","0","-m2",NA,NA
"762","1T","I","16a","2.25","0.25","7","-m2","B-","cat_themes.krn","0","0","+m2",NA,NA
"763","1T","I","16b-","2.5","0.25","1","+m2","B-","cat_themes.krn","0","0","+M2",NA,NA
"764","1T","I","16ccJJ)","2.75","0.25","2","+M2","B-","cat_themes.krn","0","0","-M2",NA,NA
"765","1T","I","4b-'","3","1","1","-M2","B-","cat_themes.krn","0","0","+M3",NA,NA
"766","1T","I","4dd'","4","1","3","+M3","B-","cat_themes.krn","0","0","-M2",NA,NA
"767","1T","V","4cc'","1","1","2","-M2","B-","cat_themes.krn","0","0","+P4",NA,NA
"769","1T","V","(16ffLL","2","0.25","5","+P4","B-","cat_themes.krn","0","0","-m2",NA,NA
"770","1T","V","16ee","2.25","0.25","4+","-m2","B-","cat_themes.krn","0","0","+m2",NA,NA
"771","1T","V","16ff","2.5","0.25","5","+m2","B-","cat_themes.krn","0","0","+M2",NA,NA
"772","1T","V","16ggJJ)","2.75","0.25","6","+M2","B-","cat_themes.krn","0","0","-M2",NA,NA
"773","1T","V","4ff'","3","1","5","-M2","B-","cat_themes.krn","0","1","-P4",NA,NA
"775","1T","V","4cc'","1","1","2","-P4","B-","cat_themes.krn","1","0","P1",NA,NA
"776","1T","V","(16ccLL","2","0.25","2","P1","B-","cat_themes.krn","0","0","+M2",NA,NA
"777","1T","V","16dd","2.25","0.25","3","+M2","B-","cat_themes.krn","0","0","-M2",NA,NA
"778","1T","V","16cc","2.5","0.25","2","-M2","B-","cat_themes.krn","0","0","-M2",NA,NA
"779","1T","V","16b-JJ)","2.75","0.25","1","-M2","B-","cat_themes.krn","0","0","-m2",NA,NA
"780","1T","V","4a'","3","1","7","-m2","B-","cat_themes.krn","0","0","+m6",NA,NA
"781","1T","V","4ff'","4","1","5","+m6","B-","cat_themes.krn","0","0","-m3",NA,NA
"782","1T","I","4dd'","1","1","3","-m3","B-","cat_themes.krn","0","0","+m6",NA,NA
"784","1T","I","(16bb-LL","2","0.25","1","+m6","B-","cat_themes.krn","0","0","-m2",NA,NA
"785","1T","I","16aa","2.25","0.25","7","-m2","B-","cat_themes.krn","0","0","+m2",NA,NA
"786","1T","I","16bb-","2.5","0.25","1","+m2","B-","cat_themes.krn","0","0","+M2",NA,NA
"787","1T","I","16cccJJ)","2.75","0.25","2","+M2","B-","cat_themes.krn","0","0","-M2",NA,NA
"788","1T","I","4bb-'","3","1","1","-M2","B-","cat_themes.krn","0","1","-m3",NA,NA
"790","1T","IV","4gg'","1","1","6","-m3","B-","cat_themes.krn","1","0","-M6",NA,NA
"792","1T","IV","(16b-LL","2","0.25","1","-M6","B-","cat_themes.krn","0","0","-m2",NA,NA
"793","1T","IV","16a","2.25","0.25","7","-m2","B-","cat_themes.krn","0","0","+m2",NA,NA
"794","1T","IV","16b-","2.5","0.25","1","+m2","B-","cat_themes.krn","0","0","+M2",NA,NA
"795","1T","IV","16ccJJ)","2.75","0.25","2","+M2","B-","cat_themes.krn","0","0","-M2",NA,NA
"796","1T","IV","4b-'","3","1","1","-M2","B-","cat_themes.krn","0","0","+M6",NA,NA
"797","1T","IV","4gg'","4","1","6","+M6","B-","cat_themes.krn","0","0","-M2",NA,NA
"798","2.T","I","4ff'","1","1","5","-M2","B-","cat_themes.krn","0","0","-P5",NA,NA
"800","2.T","I","(16b-LL","2","0.25","1","-P5","B-","cat_themes.krn","0","0","-m2",NA,NA
"801","2.T","I","16a","2.25","0.25","7","-m2","B-","cat_themes.krn","0","0","+m2",NA,NA
"802","2.T","I","16b-","2.5","0.25","1","+m2","B-","cat_themes.krn","0","0","+M2",NA,NA
"803","2.T","I","16ccJJ)","2.75","0.25","2","+M2","B-","cat_themes.krn","0","0","-M2",NA,NA
"804","2.T","I","4b-'","3","1","1","-M2","B-","cat_themes.krn","0","0","+M3",NA,NA
"805","4T","I","4dd'","4","1","3","+M3","B-","cat_themes.krn","0","0","-M2",NA,NA
"806","4T","V","4cc'","1","1","2","-M2","B-","cat_themes.krn","0","0","+M2",NA,NA
"807","4T","I","4dd'","2","1","3","+M2","B-","cat_themes.krn","0","0","-M2",NA,NA
"808","4T","V","4cc'","3","1","2","-M2","B-","cat_themes.krn","0","0","+M2",NA,NA
"809","4T","I","4dd'","4","1","3","+M2","B-","cat_themes.krn","0","0","-M2",NA,NA
"810","1D","V","8cc","1","0.5","2","-M2","B-","cat_themes.krn","0","0","+P4",NA,NA
"812","1D","V","16ffL","1.5","0.25","5","+P4","B-","cat_themes.krn","0","0","-m2",NA,NA
"813","1D","V","16eeJJ","1.75","0.25","4+","-m2","B-","cat_themes.krn","0","0","+m2",NA,NA
"814","1D","V","8ff'L","2","0.5","5","+m2","B-","cat_themes.krn","0","0","+M3",NA,NA
"815","1D","V","8aa'J","2.5","0.5","7","+M3","B-","cat_themes.krn","0","0","-M6",NA,NA
"816","1D","V","8ccL","3","0.5","2","-M6","B-","cat_themes.krn","0","0","-m3",NA,NA
"818","1D","V","16aL","3.5","0.25","7","-m3","B-","cat_themes.krn","0","0","-M2",NA,NA
"819","1D","V","16gJJ","3.75","0.25","6","-M2","B-","cat_themes.krn","0","0","+M2",NA,NA
"820","1D","V","8a'L","4","0.5","7","+M2","B-","cat_themes.krn","0","0","+m3",NA,NA
"821","1D","V","8cc'J","4.5","0.5","2","+m3","B-","cat_themes.krn","0","0","[f]",NA,NA
"822","1D","V","4f","1","1","5","[f]","B-","cat_themes.krn","0","1","P1",NA,NA
"824","1D","V","8f","2.5","0.5","5","P1","B-","cat_themes.krn","1","0","P1",NA,NA
"825","1D","V","8fL","3","0.5","5","P1","B-","cat_themes.krn","0","0","P1",NA,NA
"826","1D","V","8f","3.5","0.5","5","P1","B-","cat_themes.krn","0","0","P1",NA,NA
"827","1D","V","8f","4","0.5","5","P1","B-","cat_themes.krn","0","0","P1",NA,NA
"828","1D","V","8fJ","4.5","0.5","5","P1","B-","cat_themes.krn","0","0","+M2",NA,NA
"829","4D","V/V","8gL","1","0.5","6","+M2","B-","cat_themes.krn","0","0","P1",NA,NA
"830","4D","V/V","8g","1.5","0.5","6","P1","B-","cat_themes.krn","0","0","+M2",NA,NA
"831","8D","V","8a","2","0.5","7","+M2","B-","cat_themes.krn","0","0","P1",NA,NA
"832","8D","V7","8aJ","2.5","0.5","7","P1","B-","cat_themes.krn","0","0","+m2",NA,NA
"833","4D","I","8b-L","3","0.5","1","+m2","B-","cat_themes.krn","0","0","P1",NA,NA
"834","4D","I","8b-","3.5","0.5","1","P1","B-","cat_themes.krn","0","0","+M2",NA,NA
"835","4D","V","8cc","4","0.5","2","+M2","B-","cat_themes.krn","0","0","P1",NA,NA
"836","4D","V","8ccJ","4.5","0.5","2","P1","B-","cat_themes.krn","0","0","+M2",NA,NA
"837","1D","I","16ddLL","1","0.25","3","+M2","B-","cat_themes.krn","0","0","+m2",NA,NA
"838","1D","I","16ee-","1.25","0.25","4","+m2","B-","cat_themes.krn","0","0","-m2",NA,NA
"839","1D","I","16dd","1.5","0.25","3","-m2","B-","cat_themes.krn","0","0","-M2",NA,NA
"840","1D","I","16ccJJ","1.75","0.25","2","-M2","B-","cat_themes.krn","0","0","-M2",NA,NA
"841","1D","I","4b-","2","1","1","-M2","B-","cat_themes.krn","0","1","+P5",NA,NA
"843","1D","I","4ff","4","1","5","+P5","B-","cat_themes.krn","1","0","-m3",NA,NA
"844","2D","I","4dd","1","1","3","-m3","B-","cat_themes.krn","0","0","P1",NA,NA
"845","2D","I","4dd","2","1","3","P1","B-","cat_themes.krn","0","0","-M2",NA,NA
"846","2D","V","4cc","3","1","2","-M2","B-","cat_themes.krn","0","0","P1",NA,NA
"847","2D","V","4cc","4","1","2","P1","B-","cat_themes.krn","0","0","+M2",NA,NA
"848","2.T","I","(16ddLL","1","0.25","3","+M2","B-","cat_themes.krn","0","0","+m3",NA,NA
"849","2.T","I","16ff","1.25","0.25","5","+m3","B-","cat_themes.krn","0","0","-m2",NA,NA
"850","2.T","I","16ee","1.5","0.25","4+","-m2","B-","cat_themes.krn","0","0","+m2",NA,NA
"851","2.T","I","16ffJJ","1.75","0.25","5","+m2","B-","cat_themes.krn","0","0","+M2",NA,NA
"852","2.T","I","16ggLL","2","0.25","6","+M2","B-","cat_themes.krn","0","0","-M2",NA,NA
"853","2.T","I","16ff","2.25","0.25","5","-M2","B-","cat_themes.krn","0","0","-m2",NA,NA
"854","2.T","I","16ee","2.5","0.25","4+","-m2","B-","cat_themes.krn","0","0","+m2",NA,NA
"855","2.T","I","16ffJJ","2.75","0.25","5","+m2","B-","cat_themes.krn","0","0","+M2",NA,NA
"856","2.T","I","16ggLL","3","0.25","6","+M2","B-","cat_themes.krn","0","0","-M2",NA,NA
"857","2.T","I","16ff","3.25","0.5","5","-M2","B-","cat_themes.krn","0","0","-m2",NA,NA
"858","2.T","I","16ee","3.5","0.5","4+","-m2","B-","cat_themes.krn","0","0","+m2",NA,NA
"859","2.T","I","16ffJJ","3.75","0.5","5","+m2","B-","cat_themes.krn","0","0","+M2",NA,NA
"860","4T","I","16ggLL","4","0.5","6","+M2","B-","cat_themes.krn","0","0","-M2",NA,NA
"861","4T","I","16ff","4.25","0.25","5","-M2","B-","cat_themes.krn","0","0","-m2",NA,NA
"862","4T","I","16ee","4.5","0.25","4+","-m2","B-","cat_themes.krn","0","0","+m2",NA,NA
"863","4T","I","16ffJJ)","4.75","0.25","5","+m2","B-","cat_themes.krn","0","0","+M2",NA,NA
"864","2T","I","16ggLL","1","0.25","6","+M2","B-","cat_themes.krn","0","0","-M2",NA,NA
"865","2T","I","16ff","1.25","0.25","5","-M2","B-","cat_themes.krn","0","0","-m2",NA,NA
"866","2T","I","16ee","1.5","0.25","4+","-m2","B-","cat_themes.krn","0","0","+m2",NA,NA
"867","2T","I","16ffJJ","1.75","0.25","5","+m2","B-","cat_themes.krn","0","0","+M2",NA,NA
"868","2T","I","16ggLL","2","0.25","6","+M2","B-","cat_themes.krn","0","0","-M2",NA,NA
"869","2T","I","16ff","2.25","0.25","5","-M2","B-","cat_themes.krn","0","0","-m2",NA,NA
"870","2T","I","16ee","2.5","0.25","4+","-m2","B-","cat_themes.krn","0","0","+m2",NA,NA
"871","2T","I","16ffJJ","2.75","0.25","5","+m2","B-","cat_themes.krn","0","0","+M2",NA,NA
"872","2T","V","16ggLL","3","0.25","6","+M2","B-","cat_themes.krn","0","0","-M2",NA,NA
"873","2T","V","16ff","3.25","0.25","5","-M2","B-","cat_themes.krn","0","0","-m2",NA,NA
"874","2T","V","16ee","3.5","0.25","4+","-m2","B-","cat_themes.krn","0","0","+m2",NA,NA
"875","2T","V","16ffJJ","3.75","0.25","5","+m2","B-","cat_themes.krn","0","0","+M2",NA,NA
"876","2T","V","16ggLL","4","0.25","6","+M2","B-","cat_themes.krn","0","0","-M2",NA,NA
"877","2T","V","16ff","4.25","0.25","5","-M2","B-","cat_themes.krn","0","0","-m2",NA,NA
"878","2T","V","16ee","4.5","0.25","4+","-m2","B-","cat_themes.krn","0","0","+m2",NA,NA
"879","2T","V","16ffJJ","4.75","0.25","5","+m2","B-","cat_themes.krn","0","0","-P5",NA,NA
"880","1T","I","4b-","1","1","1","-P5","B-","cat_themes.krn","0","0","+P8",NA,NA
"882","1T","I","(16bb-LL","2","0.25","1","+P8","B-","cat_themes.krn","0","0","-m2",NA,NA
"883","1T","I","16aa","2.25","0.25","7","-m2","B-","cat_themes.krn","0","0","+m2",NA,NA
"884","1T","I","16bb-","2.5","0.25","1","+m2","B-","cat_themes.krn","0","0","+M2",NA,NA
"885","1T","I","16cccJJ)","2.75","0.25","2","+M2","B-","cat_themes.krn","0","0","-M2",NA,NA
"886","1T","I","4bb-","3","1","1","-M2","B-","cat_themes.krn","0","1","[ccc]",NA,NA
"888","4T","I","4ccc","2","1","5","[ccc]","F","cat_themes.krn","1","0","-m3",NA,NA
"889","2T","I","8aa'","1","0.5","3","-m3","F","cat_themes.krn","0","0","-M3",NA,NA
"890","2T","I","8ff'","1.5","0.5","1","-M3","F","cat_themes.krn","0","0","+M3",NA,NA
"891","2T","I","8aa'","2","0.5","3","+M3","F","cat_themes.krn","0","0","+m3",NA,NA
"892","2T","I","8ccc'","2.5","0.5","5","+m3","F","cat_themes.krn","0","0","-M2",NA,NA
"893","4T","V7","4bb-","1","1","4","-M2","F","cat_themes.krn","0","0","-m2",NA,NA
"894","4T","I","4aa","2","1","3","-m2","F","cat_themes.krn","0","0","-M2",NA,NA
"895","2T","V","8gg'","1","0.5","2","-M2","F","cat_themes.krn","0","0","-M2",NA,NA
"896","2T","V","8ff'","1.5","0.5","1","-M2","F","cat_themes.krn","0","0","-m2",NA,NA
"897","2T","V","8ee'","2","0.5","7","-m2","F","cat_themes.krn","0","0","+m2",NA,NA
"898","2T","V","8ff'","2.5","0.5","1","+m2","F","cat_themes.krn","0","0","+M2",NA,NA
"899","4T","V","8gg","1","0.5","2","+M2","F","cat_themes.krn","0","1","+P4",NA,NA
"901","4T","I","4ccc","2","1","5","+P4","F","cat_themes.krn","1","0","-m3",NA,NA
"902","2T","I","8aa'","1","0.5","3","-m3","F","cat_themes.krn","0","0","-M3",NA,NA
"903","2T","I","8ff'","1.5","0.5","1","-M3","F","cat_themes.krn","0","0","+M3",NA,NA
"904","2T","I","8aa'","2","0.5","3","+M3","F","cat_themes.krn","0","0","+m3",NA,NA
"905","2T","I","8ccc'","2.5","0.5","5","+m3","F","cat_themes.krn","0","0","-M2",NA,NA
"906","4T","V7","4bb-","1","1","4","-M2","F","cat_themes.krn","0","0","-m2",NA,NA
"907","4T","I","4aa","2","1","3","-m2","F","cat_themes.krn","0","0","-M2",NA,NA
"908","4P","ii","8gg","1","0.5","2","-M2","F","cat_themes.krn","0","0","P1",NA,NA
"909","4P","ii","8gg","1.5","0.5","2","P1","F","cat_themes.krn","0","0","-m3",NA,NA
"910","4D","V7","8ee","2","0.5","7","-m3","F","cat_themes.krn","0","0","-M2",NA,NA
"911","4D","V7","16dd","2.5","0.25","6","-M2","F","cat_themes.krn","0","0","+M2",NA,NA
"912","4D","V7","16eeJJ)","2.75","0.25","7","+M2","F","cat_themes.krn","0","0","+m2",NA,NA
"913","4T","I","8ff","1","0.5","1","+m2","F","cat_themes.krn","0","1","[cc]",NA,NA
"915","4T","I","4cc","2","1","5","[cc]","F","cat_themes.krn","1","0","-m3",NA,NA
"916","2T","I","8a","1","1","3","-m3","F","cat_themes.krn","0","0","-M3",NA,NA
"917","2T","I","8f","1.5","1","1","-M3","F","cat_themes.krn","0","0","+M3",NA,NA
"918","2T","I","8a","2","0.5","3","+M3","F","cat_themes.krn","0","0","+m3",NA,NA
"919","2T","I","8cc","2.5","0.5","5","+m3","F","cat_themes.krn","0","0","-M2",NA,NA
"921","4T","V7","4b-","1","1","4","-M2","F","cat_themes.krn","0","0","-m2",NA,NA
"922","4T","I","4a","2","1","3","-m2","F","cat_themes.krn","0","0","-M2",NA,NA
"923","2T","V","8g","1","0.5","2","-M2","F","cat_themes.krn","0","0","-M2",NA,NA
"924","2T","V","8f","1.5","0.5","1","-M2","F","cat_themes.krn","0","0","-m2",NA,NA
"925","2T","V","8e","2","0.5","7","-m2","F","cat_themes.krn","0","0","+m2",NA,NA
"926","2T","V","8f","2.5","0.5","1","+m2","F","cat_themes.krn","0","0","+M2",NA,NA
"927","4T","V","4g","1","1","2","+M2","F","cat_themes.krn","0","0","+P4",NA,NA
"928","4T","I","4cc","2","1","5","+P4","F","cat_themes.krn","0","0","-m3",NA,NA
"929","2T","I","8a","1","0.5","3","-m3","F","cat_themes.krn","0","0","-M3",NA,NA
"930","2T","I","8f","1.5","0.5","1","-M3","F","cat_themes.krn","0","0","+M3",NA,NA
"931","2T","I","8a","2","0.5","3","+M3","F","cat_themes.krn","0","0","+m3",NA,NA
"932","2T","I","8cc","2.5","0.5","5","+m3","F","cat_themes.krn","0","0","-M2",NA,NA
"934","4T","V7","4b-","1","1","4","-M2","F","cat_themes.krn","0","0","-m2",NA,NA
"935","4T","I","4a","2","1","3","-m2","F","cat_themes.krn","0","0","-M2",NA,NA
"936","4D","C/V","8g","1","0.5","2","-M2","F","cat_themes.krn","0","0","P1",NA,NA
"937","4D","C/V","8g","1.5","0.5","2","P1","F","cat_themes.krn","0","0","+M2",NA,NA
"938","4D","V7/V","8a","2","0.5","3","+M2","F","cat_themes.krn","0","0","+M2",NA,NA
"939","4D","V7/V","8b","2.5","0.5","4+","+M2","F","cat_themes.krn","0","0","+m2",NA,NA
"940","2D","I/V","4cc","1","1","5","+m2","F","cat_themes.krn","0","0","+M2",NA,NA
"941","2D","I/V","8dd","2","0.5","6","+M2","F","cat_themes.krn","0","0","+M2",NA,NA
"942","2D","I/V","8ee","2.5","0.5","7","+M2","F","cat_themes.krn","0","0","-M3",NA,NA
"943","4D","C/V","(8ccL","1","0.5","5","-M3","F","cat_themes.krn","0","0","+P5",NA,NA
"944","4D","C/V","16ggJk)","1.5","0.25","2","+P5","F","cat_themes.krn","0","1","-m6",NA,NA
"946","4D","V/V","(8bL","2","0.5","4+","-m6","F","cat_themes.krn","1","0","+m6",NA,NA
"947","4D","V/V","16ggJk)","2.5","0.25","2","+m6","F","cat_themes.krn","0","1","-P5",NA,NA
"949","2D","I/V","4cc","1","1","5","-P5","F","cat_themes.krn","1","0","+M2",NA,NA
"950","2D","I/V","8dd","2","0.5","6","+M2","F","cat_themes.krn","0","0","+M2",NA,NA
"951","2D","I/V","8ee","2.5","0.5","7","+M2","F","cat_themes.krn","0","0","-M3",NA,NA
"952","4D","C/V","(8ccL","1","0.5","5","-M3","F","cat_themes.krn","0","0","+P5",NA,NA
"953","4D","C/V","16ggJk)","1.5","0.25","2","+P5","F","cat_themes.krn","0","1","-m6",NA,NA
"955","4D","V/V","(8bL","2","0.5","4+","-m6","F","cat_themes.krn","1","0","+m6",NA,NA
"956","4D","V/V","16ggJk)","2.5","0.25","2","+m6","F","cat_themes.krn","0","1","-P5",NA,NA
"958","4D","I/V","4cc;","1","1","5","-P5","F","cat_themes.krn","1","0","[cc]",NA,NA
"959","4T","I","4cc","2","1","5","[cc]","F","cat_themes.krn","0","0","-m3",NA,NA
"960","2T","I","(8aL","1","0.5","3","-m3","F","cat_themes.krn","0","0","-M3",NA,NA
"961","2T","I","8fJ","1.5","0.5","1","-M3","F","cat_themes.krn","0","0","+P8",NA,NA
"962","2T","I","8ff","2","0.5","1","+P8","F","cat_themes.krn","0","0","-P4",NA,NA
"963","2T","I","8ccJ)","2.5","0.5","5","-P4","F","cat_themes.krn","0","0","-M2",NA,NA
"965","4T","V7","4b-","1","1","4","-M2","F","cat_themes.krn","0","0","-m2",NA,NA
"967","4T","I","4a","2","1","3","-m2","F","cat_themes.krn","0","0","-M2",NA,NA
"969","2T","V7","8g","1","0.5","2","-M2","F","cat_themes.krn","0","0","-M2",NA,NA
"970","2T","V7","8fJ","1.5","0.5","1","-M2","F","cat_themes.krn","0","0","+P4",NA,NA
"972","2T","V7","8b-","2","0.5","4","+P4","F","cat_themes.krn","0","0","-m2",NA,NA
"973","2T","V7","8a","2.5","0.5","3","-m2","F","cat_themes.krn","0","0","-M2",NA,NA
"974","4T","V","4g","1","1","2","-M2","F","cat_themes.krn","0","0","+P4",NA,NA
"975","4T","I","4cc","2","1","5","+P4","F","cat_themes.krn","0","0","P1",NA,NA
"976","2T","I","8cc","1","0.5","5","P1","F","cat_themes.krn","0","0","-m3",NA,NA
"977","2T","I","8aJ","1.5","0.5","3","-m3","F","cat_themes.krn","0","0","+m6",NA,NA
"978","2T","I","(16ffLL","2","0.25","1","+m6","F","cat_themes.krn","0","0","-m2",NA,NA
"979","2T","I","16ee","2.25","0.25","7","-m2","F","cat_themes.krn","0","0","-M2",NA,NA
"980","2T","I","16dd","2.5","0.25","6","-M2","F","cat_themes.krn","0","0","-M2",NA,NA
"981","2T","I","16ccJJ)","2.75","0.25","5","-M2","F","cat_themes.krn","0","0","-M2",NA,NA
"983","4T","V7","4b-","1","1","4","-M2","F","cat_themes.krn","0","0","-m2",NA,NA
"984","4T","I","4a","2","1","3","-m2","F","cat_themes.krn","0","0","-M2",NA,NA
"985","2D","V7/V","8gL","1","0.5","2","-M2","F","cat_themes.krn","0","0","+m7",NA,NA
"986","2D","V7/V","8ffJ","1.5","0.5","1","+m7","F","cat_themes.krn","0","0","-m2",NA,NA
"987","2D","V7/V","8eeL","2","0.5","7","-m2","F","cat_themes.krn","0","0","-M2",NA,NA
"988","2D","V7/V","8dd","2.5","0.5","6","-M2","F","cat_themes.krn","0","0","-M2",NA,NA
"989","4D","V","4cc","1","1","5","-M2","F","cat_themes.krn","0","0","[gg]",NA,NA
