"","X","harm","melody","beat_pos","duration","scale_deg","approaching","key","file","depart","Response","Chordnotes"
"7417",8474,"VI","4b-\",2,1,"6","-M3","d","4_ii.krn","-m2",1,"6 3 1+"
"7418",8476,"i","8a/L",1,0.5,"5","-m2","d","4_ii.krn","+P4",1,"1 5 3- 2+"
"7419",8477,"VI","16.dd/L",1.5,0.375,"1","+P4","d","4_ii.krn","-P8",0,"6 3 1+"
"7420",8478,"VI","32d/JJk",1.875,0.125,"1","-P8","d","4_ii.krn","+M2",0,"6 3 1+"
"7421",8479,"iio","8.e/L",2,0.75,"2","+M2","d","4_ii.krn","+m2",1,"2 4 6- 3+ 5+"
"7422",8481,"V7","32f/LL",2.75,0.125,"3","+m2","d","4_ii.krn","+M2",0,"5 2 7 4 3+"
"7423",8482,"V7","32g/JJJ",2.875,0.125,"4","+M2","d","4_ii.krn","P1",1,"5 2 7 4 3+"
"7424",8483,"i","32g/LLL",1,0.125,"4","P1","d","4_ii.krn","-M2",0,"1 5 3- 2+"
"7425",8484,"i","32f/",1.125,0.125,"3","-M2","d","4_ii.krn","-m2",0,"1 5 3- 2+"
"7426",8485,"i","32e/",1.25,0.125,"2","-m2","d","4_ii.krn","-M2",0,"1 5 3- 2+"
"7427",8486,"i","32d/JJ",1.375,0.125,"1","-M2","d","4_ii.krn","P1",1,"1 5 3- 2+"
"7428",8487,"i","8d'/J",1.5,0.5,"1","P1","d","4_ii.krn","+P5",1,"1 5 3- 2+"
"7429",8489,"V","8a/",2.5,0.5,"5","+P5","d","4_ii.krn","+P4",1,"5 2 7"
"7430",8490,"i","4dd\",1,1,"1","+P4","d","4_ii.krn","+M2",1,"1 5 3- 2+"
"7431",8492,"viio","8ee\L",2,0.5,"2","+M2","d","4_ii.krn","+m2",1,"7 2 4 1++ 3+"
"7432",8493,"i","16.ff\L",2.5,0.375,"3","+m2","d","4_ii.krn","-m6",0,"1 5 3- 2+"
"7433",8494,"i","32a\JJk",2.875,0.125,"5","-m6","d","4_ii.krn","+m2",1,"1 5 3- 2+"
"7434",8495,"ivm7","[4b-\",1,1,"6","+m2","d","4_ii.krn","+M6",0,"4 1 6- 3- 5+ 2+"
"7435",8497,"VII7","16.gg\L",2.5,0.375,"4","+M6","d","4_ii.krn","-M6",0,"7 4+ 2+ 6 5++"
"7436",8498,"VII7","32b-\JJk",2.875,0.125,"6","-M6","d","4_ii.krn","-m2",1,"7 4+ 2+ 6 5++"
"7437",8499,"VI","8a/L",1,0.5,"5","-m2","d","4_ii.krn","+m2",0,"6 3 1+"
"7438",8500,"VI","16.b-/L",1.5,0.375,"6","+m2","d","4_ii.krn","-m3",1,"6 3 1+"
"7439",8501,"VI","32g/JJk",1.875,0.125,"4","-m3","d","4_ii.krn","-M2",0,"6 3 1+"
"7444",8506,"III","4f/",1,1,"3","+m2","d","4_ii.krn","+M3",1,"3 7 5+"
"7445",8508,"III","8a/",2.5,0.5,"5","+M3","d","4_ii.krn","+m3",0,"3 7 5+"
"7446",8509,"III","4cc\",1,1,"7-","+m3","d","4_ii.krn","-M2",0,"3 7 5+"
"7447",8511,"iv","8b-/L",2,0.5,"6","-M2","d","4_ii.krn","-m2",0,"4 1 6- 5+"
"7448",8512,"v","8a/J",2.5,0.5,"5","-m2","d","4_ii.krn","-M2",1,"5 2 7- 6+"
"7449",8513,"iv","8g/L",1,0.5,"4","-M2","d","4_ii.krn","+M2",1,"4 1 6- 5+"
"7450",8514,"viioD7/iv","16.a/L",1.5,0.375,"5","+M2","d","4_ii.krn","-m3",1,"3 5 7- 1+ 4++ 6+"
"7451",8515,"iv","32f#/JJk",1.875,0.125,"3+","-m3","d","4_ii.krn","+m2",0,"4 1 6- 5+"
"7452",8516,"iv","8g/L",2,0.5,"4","+m2","d","4_ii.krn","+P5",1,"4 1 6- 5+"
"7453",8517,"iv","8dd/J",2.5,0.5,"1","+P5","d","4_ii.krn","P1",1,"4 1 6- 5+"
"7454",8518,"iv","8.dd\L",1,0.75,"1","P1","d","4_ii.krn","+M2",1,"4 1 6- 5+"
"7455",8520,"Gn","16ee\Jk",1.75,0.25,"2","+M2","d","4_ii.krn","+m2",0,"6- 1 4+ 5+ 5- 3- 2+"
"7456",8521,"Gn","8ff\L",2,0.5,"3","+m2","d","4_ii.krn","-d7",0,"6- 1 4+ 5+ 5- 3- 2+"
"7457",8522,"Gn","8g#\J",2.5,0.5,"4+","-d7","d","4_ii.krn","P1",1,"6- 1 4+ 5+ 5- 3- 2+"
"7458",8523,"V","4g#/",1,1,"4+","P1","d","4_ii.krn","+m2",0,"5 2 7"
"7459",8524,"V","8a\L",2,0.5,"5","+m2","d","4_ii.krn","+P8",1,"5 2 7"
"7460",8525,"V/iv","8aa\J",2.5,0.5,"5","+P8","d","4_ii.krn","P1",1,"1 5 3"
"7461",8526,"N","8aa\",1,0.5,"5","P1","d","4_ii.krn","-M2",0,"2- 6- 4 1+ 5+"
"7462",8527,"N","4gg\",1.5,1,"4","-M2","d","4_ii.krn","+m3",1,"2- 6- 4 1+ 5+"
"7463",8528,"N","8bb-\",2.5,0.5,"6","+m3","d","4_ii.krn","P1",0,"2- 6- 4 1+ 5+"
"7464",8529,"viioD7/iv","16bb-\LL",1,0.25,"6","P1","d","4_ii.krn","-m2",0,"3 5 7- 1+ 4++ 6+"
"7465",8530,"viioD7/iv","16aa\JJ",1.25,0.25,"5","-m2","d","4_ii.krn","P1",1,"3 5 7- 1+ 4++ 6+"
"7466",8531,"viioD7/iv","4aa\",1.5,1,"5","P1","d","4_ii.krn","+m3",1,"3 5 7- 1+ 4++ 6+"
"7467",8532,"viioD7/iv","[8ccc\",2.5,0.5,"7-","+m3","d","4_ii.krn","-M2",1,"3 5 7- 1+ 4++ 6+"
"7468",8534,"iv","4bb-\",1.5,1,"6","-M2","d","4_ii.krn","P1",0,"4 1 6- 5+"
"7469",8535,"iv","32bb-\LLL",2.5,0.125,"6","P1","d","4_ii.krn","+M2",0,"4 1 6- 5+"
"7470",8536,"iv","32ccc\",2.625,0.125,"7-","+M2","d","4_ii.krn","-M2",0,"4 1 6- 5+"
"7471",8537,"iv","32bb-\",2.75,0.125,"6","-M2","d","4_ii.krn","+M2",0,"4 1 6- 5+"
"7472",8538,"iv","32ccc\JJJ",2.875,0.125,"7-","+M2","d","4_ii.krn","+M2",0,"4 1 6- 5+"
"7473",8539,"Gn","[2ddd\",1,2,"1","+M2","d","4_ii.krn","-M6",1,"6- 1 4+ 5+ 5- 3- 2+"
"7474",8541,"i","4ff\",1.5,1,"3","-M6","d","4_ii.krn","+M2",0,"1 5 3- 2+"
"7475",8543,"V7","16.gg\LL",2.5,0.375,"4","+M2","d","4_ii.krn","-m3",1,"5 2 7 4 3+"
"7476",8544,"V7","32ee\JJk",2.875,0.125,"2","-m3","d","4_ii.krn","-M2",1,"5 2 7 4 3+"
"7477",8545,"i","4dd\",1,1,"1","-M2","d","4_ii.krn","-m7",1,"1 5 3- 2+"
"7478",8555,"viioD7","8e/",2.5,0.5,"2","-m7","d","4_ii.krn","+P4",1,"7 2 4 5+ 1++ 3+"
"7479",8556,"i","8a'/L",1,0.5,"5","+P4","d","4_ii.krn","-P5",1,"1 5 3- 2+"
"7480",8557,"VI","8d'/J",1.5,0.5,"1","-P5","d","4_ii.krn","+m6",0,"6 3 1+"
"7481",8558,"iiom7","8b-'/L",2,0.5,"6","+m6","d","4_ii.krn","-m9",0,"2 4 6- 1 3+ 5+ 7+"
"7482",8559,"V7","8A'/J",2.5,0.5,"5","-m9","d","4_ii.krn","+P4",1,"5 2 7 4 3+"
"7483",8560,"i","4d/",1,1,"1","+P4","d","4_ii.krn","P1",1,"1 5 3- 2+"
"7484",8563,"i","8d'/",1.5,0.5,"1","P1","d","4_ii.krn","+M2",1,"1 5 3- 2+"
"7485",8564,"viio","8e'/L",2,0.5,"2","+M2","d","4_ii.krn","+m2",1,"7 2 4 1++ 3+"
"7486",8565,"i","8f'/J",2.5,0.5,"3","+m2","d","4_ii.krn","P1",0,"1 5 3- 2+"
"7487",8566,"iv7","8f'/L",1,0.5,"3","P1","d","4_ii.krn","-m3",0,"4 1 6- 3- 5+ 2+"
"7488",8567,"iv7","8d'/J",1.5,0.5,"1","-m3","d","4_ii.krn","-P5",1,"4 1 6- 3- 5+ 2+"
"7489",8568,"VII","8G'/L",2,0.5,"4","-P5","d","4_ii.krn","+P8",0,"7 4+ 2+"
"7490",8569,"VII","8g'/J",2.5,0.5,"4","+P8","d","4_ii.krn","+M2",0,"7 4+ 2+"
"7491",8570,"III","4a/",1,1,"5","+M2","d","4_ii.krn","-M3",0,"3 7 5+"
"7492",8583,"VI","[2f/",1,2,"3","-M3","d","4_ii.krn","-m2",1,"6 3 1+"
"7493",8586,"V","8e'/",2,0.5,"2","-m2","d","4_ii.krn","+M3",1,"5 2 7"
"7494",8593,"viioD7/V","8g#'/L",2,0.5,"4+","+M3","d","4_ii.krn","P1",1,"4+ 6 1 2+ 5++ 7+"
"7495",8594,"viioD7/V","8g#'/J",2.5,0.5,"4+","P1","d","4_ii.krn","+m2",1,"4+ 6 1 2+ 5++ 7+"
"7496",8595,"i","4a'/",1,1,"5","+m2","d","4_ii.krn","-P8",1,"1 5 3- 2+"
"7497",8601,"i","8A/",1.5,0.5,"5","-P8","d","4_ii.krn","+m7",1,"1 5 3- 2+"
"7498",8602,"viio","8g/L",2,0.5,"4","+m7","d","4_ii.krn","-M2",1,"7 2 4 1++ 3+"
"7499",8603,"i","8f/J",2.5,0.5,"3","-M2","d","4_ii.krn","-m2",0,"1 5 3- 2+"
"7500",8604,"viioD7","8e/L",1,0.5,"2","-m2","d","4_ii.krn","-M2",1,"7 2 4 5+ 1++ 3+"
"7501",8605,"i","8d/J",1.5,0.5,"1","-M2","d","4_ii.krn","-m2",1,"1 5 3- 2+"
"7502",8607,"V7","8c#/",2.5,0.5,"7","-m2","d","4_ii.krn","+m2",1,"5 2 7 4 3+"
"7503",8608,"VI","4d/",1,1,"1","+m2","d","4_ii.krn","+M2",0,"6 3 1+"
"7504",8609,"viio","4e/",2,1,"2","+M2","d","4_ii.krn","+m2",1,"7 2 4 1++ 3+"
"7505",8610,"i","8f'/",1,0.5,"3","+m2","d","4_ii.krn","-m6",0,"1 5 3- 2+"
"7506",8615,"i","8A/",1.5,0.5,"5","-m6","d","4_ii.krn","+m7",1,"1 5 3- 2+"
"7507",8616,"viio","8g/L",2,0.5,"4","+m7","d","4_ii.krn","-M2",1,"7 2 4 1++ 3+"
"7508",8617,"i","8f/J",2.5,0.5,"3","-M2","d","4_ii.krn","P1",0,"1 5 3- 2+"
"7509",8618,"ivm7","4f/",1,1,"3","P1","d","4_ii.krn","-m2",0,"4 1 6- 3- 5+ 2+"
"7510",8619,"V7/III","8e/L",2,0.5,"2","-m2","d","4_ii.krn","+m3",1,"7- 4 2 6- 5+"
"7511",8620,"V7/III","8g/J",2.5,0.5,"4","+m3","d","4_ii.krn","-P5",1,"7- 4 2 6- 5+"
"7512",8621,"III","8c/L",1,0.5,"7-","-P5","d","4_ii.krn","+M2",0,"3 7 5+"
"7513",8622,"iv","16.d/L",1.5,0.375,"1","+M2","d","4_ii.krn","+m6",1,"4 1 6- 5+"
"7514",8623,"iv","32b-/JJk",1.875,0.125,"6","+m6","d","4_ii.krn","-m2",0,"4 1 6- 5+"
"7515",8624,"III","8a/L",2,0.5,"5","-m2","d","4_ii.krn","-M2",0,"3 7 5+"
"7516",8625,"V7/III","8g/J",2.5,0.5,"4","-M2","d","4_ii.krn","-M2",1,"7- 4 2 6- 5+"
"7517",8626,"III","4f/",1,1,"3","-M2","d","4_ii.krn","-M2",1,"3 7 5+"
"7518",8631,"viioD7/iv","16e-/LL",2.5,0.25,"2-","-M2","d","4_ii.krn","-m3",0,"3 5 7- 1+ 4++ 6+"
"7519",8632,"viioD7/iv","16c/JJ",2.75,0.25,"7-","-m3","d","4_ii.krn","-M2",1,"3 5 7- 1+ 4++ 6+"
"7520",8633,"iv","4B-/",1,1,"6","-M2","d","4_ii.krn","+A4",0,"4 1 6- 5+"
"7521",8636,"iio","8e'/",1.5,0.5,"2","+A4","d","4_ii.krn","P1",1,"2 4 6- 3+ 5+"
"7522",8637,"iio","8e'/L",2,0.5,"2","P1","d","4_ii.krn","P1",1,"2 4 6- 3+ 5+"
"7523",8638,"iio","8e'/J",2.5,0.5,"2","P1","d","4_ii.krn","+m2",1,"2 4 6- 3+ 5+"
"7524",8639,"i","4f/",1,1,"3","+m2","d","4_ii.krn","-m2",0,"1 5 3- 2+"
"7525",8640,"V","8e/L",2,0.5,"2","-m2","d","4_ii.krn","+P4",1,"5 2 7"
"7526",8641,"V/iv","8a/J",2.5,0.5,"5","+P4","d","4_ii.krn","+m2",1,"1 5 3"
"7529",8646,"(VI)","[2dd\",1,2,"1","+M2","d","4_ii.krn","-M6",0,"6 3 1+"
"7530",8650,"i","4f/",1.5,1,"3","-M6","d","4_ii.krn","+M2",0,"1 5 3- 2+"
"7531",8651,"V7","16g/LL",2.5,0.25,"4","+M2","d","4_ii.krn","-m3",1,"5 2 7 4 3+"
"7532",8652,"V7","16e/JJ",2.75,0.25,"2","-m3","d","4_ii.krn","P1",1,"5 2 7 4 3+"
"7533",8653,"V7","4e/",1,1,"2","P1","d","4_ii.krn","-M2",1,"5 2 7 4 3+"
"7534",8654,"i","8d'/",2,0.5,"1","-M2","d","4_ii.krn","+P5",1,"1 5 3- 2+"
"7535",8655,"V","8a/",2.5,0.5,"5","+P5","d","4_ii.krn","-P5",1,"5 2 7"
"7536",8656,"i","24d\LL",1,0.166667,"1","-P5","d","4_ii.krn","+m3",1,"1 5 3- 2+"
"7537",8657,"i","24f\",1.16667,0.166667,"3","+m3","d","4_ii.krn","+M3",0,"1 5 3- 2+"
"7538",8658,"i","24a'\",1.33333,0.166667,"5","+M3","d","4_ii.krn","+P4",1,"1 5 3- 2+"
"7539",8659,"i","24dd'\",1.5,0.166667,"1","+P4","d","4_ii.krn","+m3",1,"1 5 3- 2+"
"7540",8660,"i","24ff'\",1.66667,0.166667,"3","+m3","d","4_ii.krn","+M3",0,"1 5 3- 2+"
"7541",8661,"i","24aa'\JJ",1.83333,0.166667,"5","+M3","d","4_ii.krn","-M2",1,"1 5 3- 2+"
"7542",8662,"V7","24gg\LL",2,0.166667,"4","-M2","d","4_ii.krn","-m3",1,"5 2 7 4 3+"
"7543",8663,"V7","24ee\",2.16667,0.166667,"2","-m3","d","4_ii.krn","-m3",1,"5 2 7 4 3+"
"7544",8664,"V7","24cc#'\",2.33333,0.166667,"7","-m3","d","4_ii.krn","+m2",1,"5 2 7 4 3+"
"7545",8665,"i","24dd\",2.5,0.166667,"1","+m2","d","4_ii.krn","+m3",1,"1 5 3- 2+"
"7546",8666,"i","24ff\",2.66667,0.166667,"3","+m3","d","4_ii.krn","-m6",0,"1 5 3- 2+"
"7547",8667,"i","24a'\JJ",2.83333,0.166667,"5","-m6","d","4_ii.krn","+m2",1,"1 5 3- 2+"
"7548",8668,"iv","24b-\LL",1,0.166667,"6","+m2","d","4_ii.krn","+A2",0,"4 1 6- 5+"
"7549",8669,"iv","24cc#\",1.16667,0.166667,"7","+A2","d","4_ii.krn","+m2",0,"4 1 6- 5+"
"7550",8670,"iv","24dd\",1.33333,0.166667,"1","+m2","d","4_ii.krn","-P4",1,"4 1 6- 5+"
"7551",8671,"i","24a\",1.5,0.166667,"5","-P4","d","4_ii.krn","+M3",1,"1 5 3- 2+"
"7552",8672,"i","24cc#\",1.66667,0.166667,"7","+M3","d","4_ii.krn","+m2",0,"1 5 3- 2+"
"7553",8673,"i","24dd\JJ",1.83333,0.166667,"1","+m2","d","4_ii.krn","-P5",1,"1 5 3- 2+"
"7557",8677,"viio","24ee\",2.5,0.166667,"2","+m3","d","4_ii.krn","+m3",1,"7 2 4 1++ 3+"
"7558",8678,"viio","24gg\",2.66667,0.166667,"4","+m3","d","4_ii.krn","+m3",1,"7 2 4 1++ 3+"
"7559",8679,"viio","24bb-\JJ",2.83333,0.166667,"6","+m3","d","4_ii.krn","-m2",0,"7 2 4 1++ 3+"
"7560",8680,"i","24aa\LL",1,0.166667,"5","-m2","d","4_ii.krn","+P4",1,"1 5 3- 2+"
"7561",8681,"i","24ddd\",1.16667,0.166667,"1","+P4","d","4_ii.krn","-m2",1,"1 5 3- 2+"
"7562",8682,"i","24ccc#'\",1.33333,0.166667,"7","-m2","d","4_ii.krn","+m2",0,"1 5 3- 2+"
"7563",8683,"VI","24ddd\",1.5,0.166667,"1","+m2","d","4_ii.krn","-P8",0,"6 3 1+"
"7564",8684,"VI","24dd\",1.66667,0.166667,"1","-P8","d","4_ii.krn","P1",0,"6 3 1+"
"7565",8685,"VI","24dd'\JJ",1.83333,0.166667,"1","P1","d","4_ii.krn","+M2",0,"6 3 1+"
"7566",8686,"iv","24ee\LL",2,0.166667,"2","+M2","d","4_ii.krn","+m2",0,"4 1 6- 5+"
"7567",8687,"iv","24ff\",2.16667,0.166667,"3","+m2","d","4_ii.krn","+M2",0,"4 1 6- 5+"
"7568",8688,"iv","24gg'\",2.33333,0.166667,"4","+M2","d","4_ii.krn","+m3",1,"4 1 6- 5+"
"7569",8689,"V","24bb-'\",2.5,0.166667,"6","+m3","d","4_ii.krn","-m2",0,"5 2 7"
"7570",8690,"V","24aa'\",2.66667,0.166667,"5","-m2","d","4_ii.krn","-M2",1,"5 2 7"
"7571",8691,"V","24gg'\JJ",2.83333,0.166667,"4","-M2","d","4_ii.krn","-M2",0,"5 2 7"
"7572",8692,"i","24ff\LL",1,0.166667,"3","-M2","d","4_ii.krn","+M3",0,"1 5 3- 2+"
"7573",8693,"i","24aa\",1.16667,0.166667,"5","+M3","d","4_ii.krn","-m6",1,"1 5 3- 2+"
"7574",8694,"i","24cc#'\",1.33333,0.166667,"7","-m6","d","4_ii.krn","+m2",0,"1 5 3- 2+"
"7575",8695,"i","24dd\",1.5,0.166667,"1","+m2","d","4_ii.krn","+m3",1,"1 5 3- 2+"
"7576",8696,"i","24ff\",1.66667,0.166667,"3","+m3","d","4_ii.krn","-m6",0,"1 5 3- 2+"
"7577",8697,"i","24a'\JJ",1.83333,0.166667,"5","-m6","d","4_ii.krn","-M3",1,"1 5 3- 2+"
"7578",8698,"i","24f/LL",2,0.166667,"3","-M3","d","4_ii.krn","+M3",0,"1 5 3- 2+"
"7579",8699,"i","24a/",2.16667,0.166667,"5","+M3","d","4_ii.krn","-m6",1,"1 5 3- 2+"
"7580",8700,"i","24c#'/",2.33333,0.166667,"7","-m6","d","4_ii.krn","+m2",0,"1 5 3- 2+"
"7581",8701,"i","24d'/",2.5,0.166667,"1","+m2","d","4_ii.krn","+m3",1,"1 5 3- 2+"
"7582",8702,"i","24f'/",2.66667,0.166667,"3","+m3","d","4_ii.krn","+M3",0,"1 5 3- 2+"
"7583",8703,"i","24a'/JJ",2.83333,0.166667,"5","+M3","d","4_ii.krn","+P4",1,"1 5 3- 2+"
"7584",8704,"i","24dd\LL",1,0.166667,"1","+P4","d","4_ii.krn","-P4",1,"1 5 3- 2+"
"7585",8705,"i","24a\",1.16667,0.166667,"5","-P4","d","4_ii.krn","+P8",1,"1 5 3- 2+"
"7586",8706,"i","24aa'\",1.33333,0.166667,"5","+P8","d","4_ii.krn","P1",1,"1 5 3- 2+"
"7587",8707,"i","24aa'\",1.5,0.166667,"5","P1","d","4_ii.krn","P1",1,"1 5 3- 2+"
"7588",8708,"i","24aa'\",1.66667,0.166667,"5","P1","d","4_ii.krn","P1",1,"1 5 3- 2+"
"7589",8709,"i","24aa'\JJ",1.83333,0.166667,"5","P1","d","4_ii.krn","P1",1,"1 5 3- 2+"
"7590",8710,"V","24aa\LL",2,0.166667,"5","P1","d","4_ii.krn","-M2",1,"5 2 7"
"7591",8711,"V","24gg\",2.16667,0.166667,"4","-M2","d","4_ii.krn","P1",0,"5 2 7"
"7592",8712,"V","24gg'\",2.33333,0.166667,"4","P1","d","4_ii.krn","P1",0,"5 2 7"
"7593",8713,"i","24gg\",2.5,0.166667,"4","P1","d","4_ii.krn","-M2",0,"1 5 3- 2+"
"7594",8714,"i","24ff\",2.66667,0.166667,"3","-M2","d","4_ii.krn","P1",0,"1 5 3- 2+"
"7595",8715,"i","24ff'\JJ",2.83333,0.166667,"3","P1","d","4_ii.krn","P1",0,"1 5 3- 2+"
"7596",8716,"VI","24ff\LL",1,0.166667,"3","P1","d","4_ii.krn","+P4",1,"6 3 1+"
"7597",8717,"VI","24bb-\",1.16667,0.166667,"6","+P4","d","4_ii.krn","P1",1,"6 3 1+"
"7598",8718,"VI","24bb-\",1.33333,0.166667,"6","P1","d","4_ii.krn","P1",1,"6 3 1+"
"7599",8719,"VI","24bb-\",1.5,0.166667,"6","P1","d","4_ii.krn","-m2",1,"6 3 1+"
"7600",8720,"VI","24aa\",1.66667,0.166667,"5","-m2","d","4_ii.krn","+m2",0,"6 3 1+"
"7601",8721,"VI","24bb-\JJ",1.83333,0.166667,"6","+m2","d","4_ii.krn","P1",1,"6 3 1+"
"7602",8722,"V7/III","24bb-\LL",2,0.166667,"6","P1","d","4_ii.krn","+M6",0,"7- 4 2 6- 5+"
"7603",8723,"V7/III","24ggg\",2.16667,0.166667,"4","+M6","d","4_ii.krn","P1",1,"7- 4 2 6- 5+"
"7604",8724,"V7/III","24ggg\",2.33333,0.166667,"4","P1","d","4_ii.krn","P1",1,"7- 4 2 6- 5+"
"7605",8725,"V7/III","24ggg\",2.5,0.166667,"4","P1","d","4_ii.krn","-m3",1,"7- 4 2 6- 5+"
"7606",8726,"V7/III","24eee\",2.66667,0.166667,"2","-m3","d","4_ii.krn","-A4",1,"7- 4 2 6- 5+"
"7607",8727,"V7/III","24bb-\JJ",2.83333,0.166667,"6","-A4","d","4_ii.krn","-m2",0,"7- 4 2 6- 5+"
"7608",8728,"III","24aa\LL",1,0.166667,"5","-m2","d","4_ii.krn","+m6",0,"3 7 5+"
"7609",8729,"III","24fff\",1.16667,0.166667,"3","+m6","d","4_ii.krn","-P4",1,"3 7 5+"
"7610",8730,"III","24ccc\",1.33333,0.166667,"7-","-P4","d","4_ii.krn","+M2",0,"3 7 5+"
"7611",8731,"VI","24ddd\",1.5,0.166667,"1","+M2","d","4_ii.krn","-M3",0,"6 3 1+"
"7612",8732,"VI","24bb-\",1.66667,0.166667,"6","-M3","d","4_ii.krn","-m3",1,"6 3 1+"
"7613",8733,"VI","24gg\JJ",1.83333,0.166667,"4","-m3","d","4_ii.krn","-M2",0,"6 3 1+"
"7614",8734,"V/III","8ff\L",2,0.5,"3","-M2","d","4_ii.krn","+M2",0,"7- 4 2"
"7615",8735,"V/III","8gg\J",2.5,0.5,"4","+M2","d","4_ii.krn","-M2",1,"7- 4 2"
"7616",8736,"III","4ff\",1,1,"3","-M2","d","4_ii.krn","-m6",1,"3 7 5+"
"7617",8738,"V","8a/",2.5,0.5,"5","-m6","d","4_ii.krn","+m3",1,"5 2 7"
"7618",8739,"V","24cc\LL",1,0.166667,"7-","+m3","d","4_ii.krn","+M6",0,"5 2 7"
"7619",8740,"V","24aa\",1.16667,0.166667,"5","+M6","d","4_ii.krn","-M2",1,"5 2 7"
"7620",8741,"V","24gg\",1.33333,0.166667,"4","-M2","d","4_ii.krn","-m2",0,"5 2 7"
"7621",8742,"viioD7/iv","24ff#\",1.5,0.166667,"3+","-m2","d","4_ii.krn","-A2",0,"3 5 7- 1+ 4++ 6+"
"7622",8743,"viioD7/iv","24ee-\",1.66667,0.166667,"2-","-A2","d","4_ii.krn","-m2",0,"3 5 7- 1+ 4++ 6+"
"7623",8744,"viioD7/iv","24dd\JJ",1.83333,0.166667,"1","-m2","d","4_ii.krn","-M2",0,"3 5 7- 1+ 4++ 6+"
"7624",8745,"iv","24cc/LL",2,0.166667,"7-","-M2","d","4_ii.krn","-M2",0,"4 1 6- 5+"
"7625",8746,"iv","24b-/",2.16667,0.166667,"6","-M2","d","4_ii.krn","-m2",0,"4 1 6- 5+"
"7626",8747,"iv","24a/",2.33333,0.166667,"5","-m2","d","4_ii.krn","-M2",0,"4 1 6- 5+"
"7627",8748,"viioD7/iv","24g/",2.5,0.166667,"4","-M2","d","4_ii.krn","-m2",0,"3 5 7- 1+ 4++ 6+"
"7628",8749,"viioD7/iv","24f#/",2.66667,0.166667,"3+","-m2","d","4_ii.krn","-A2",0,"3 5 7- 1+ 4++ 6+"
"7629",8750,"viioD7/iv","24e-/JJ",2.83333,0.166667,"2-","-A2","d","4_ii.krn","-m2",0,"3 5 7- 1+ 4++ 6+"
"7630",8751,"iv","24d/LL",1,0.166667,"1","-m2","d","4_ii.krn","+M3",1,"4 1 6- 5+"
"7631",8752,"iv","24f#/",1.16667,0.166667,"3+","+M3","d","4_ii.krn","+m2",0,"4 1 6- 5+"
"7632",8753,"iv","24g/",1.33333,0.166667,"4","+m2","d","4_ii.krn","-M3",1,"4 1 6- 5+"
"7633",8754,"iv/iv","24e-/",1.5,0.166667,"2-","-M3","d","4_ii.krn","+A2",1,"7- 4 2- 1+"
"7634",8755,"iv/iv","24f#/",1.66667,0.166667,"3+","+A2","d","4_ii.krn","+m2",0,"7- 4 2- 1+"
"7635",8756,"iv/iv","24g/JJ",1.83333,0.166667,"4","+m2","d","4_ii.krn","-P4",1,"7- 4 2- 1+"
"7636",8757,"iv","24d\LL",2,0.166667,"1","-P4","d","4_ii.krn","+P15",1,"4 1 6- 5+"
"7637",8758,"iv","24ddd\",2.16667,0.166667,"1","+P15","d","4_ii.krn","-M2",1,"4 1 6- 5+"
"7638",8759,"iv","24ccc\",2.33333,0.166667,"7-","-M2","d","4_ii.krn","-M2",0,"4 1 6- 5+"
"7639",8760,"iv","24bb-\",2.5,0.166667,"6","-M2","d","4_ii.krn","-m2",0,"4 1 6- 5+"
"7640",8761,"iv","24aa\",2.66667,0.166667,"5","-m2","d","4_ii.krn","-M2",0,"4 1 6- 5+"
"7641",8762,"iv","24gg\JJ",2.83333,0.166667,"4","-M2","d","4_ii.krn","-M2",1,"4 1 6- 5+"
"7642",8763,"iv","24ff\LL",1,0.166667,"3","-M2","d","4_ii.krn","-m2",0,"4 1 6- 5+"
"7643",8764,"iv","24ee\",1.16667,0.166667,"2","-m2","d","4_ii.krn","-M2",0,"4 1 6- 5+"
"7644",8765,"iv","24dd\",1.33333,0.166667,"1","-M2","d","4_ii.krn","-M2",1,"4 1 6- 5+"
"7645",8766,"iv","24cc\",1.5,0.166667,"7-","-M2","d","4_ii.krn","-M2",0,"4 1 6- 5+"
"7646",8767,"iv","24b-\",1.66667,0.166667,"6","-M2","d","4_ii.krn","-m2",0,"4 1 6- 5+"
"7647",8768,"iv","24a\JJ",1.83333,0.166667,"5","-m2","d","4_ii.krn","-m2",0,"4 1 6- 5+"
"7648",8769,"viioD7/V","24g#\LL",2,0.166667,"4+","-m2","d","4_ii.krn","+d7",1,"4+ 6 1 2+ 5++ 7+"
"7649",8770,"viioD7/V","24ff\",2.16667,0.166667,"3","+d7","d","4_ii.krn","-m2",0,"4+ 6 1 2+ 5++ 7+"
"7650",8771,"viioD7/V","24ee\",2.33333,0.166667,"2","-m2","d","4_ii.krn","+m2",0,"4+ 6 1 2+ 5++ 7+"
"7651",8772,"viioD7/V","24ff\",2.5,0.166667,"3","+m2","d","4_ii.krn","-m2",0,"4+ 6 1 2+ 5++ 7+"
"7652",8773,"viioD7/V","24ee\",2.66667,0.166667,"2","-m2","d","4_ii.krn","-M2",0,"4+ 6 1 2+ 5++ 7+"
"7653",8774,"viioD7/V","24dd\JJ",2.83333,0.166667,"1","-M2","d","4_ii.krn","-m2",1,"4+ 6 1 2+ 5++ 7+"
"7654",8775,"V","24cc#\LL",1,0.166667,"7","-m2","d","4_ii.krn","+m2",1,"5 2 7"
