""	"function"	"harm"	"melody"	"beat_pos"	"duration"	"scale_deg"	"approaching"	"key"	"file"	"depart"	"Response"	"Chordnotes"
"23513"	"2.T"	"V"	"4c'"	"1"	"1"	"2"	"-P11"	"B-"	"B073.krn"	"+P8"	NA	NA
"23514"	"2.T"	"V"	"(16ccLL"	"2"	"0.25"	"2"	"+P8"	"B-"	"B073.krn"	"+M2"	NA	NA
"23515"	"2.T"	"V"	"16dd"	"2.25"	"0.25"	"3"	"+M2"	"B-"	"B073.krn"	"-M2"	NA	NA
"23516"	"2.T"	"V"	"16cc"	"2.5"	"0.25"	"2"	"-M2"	"B-"	"B073.krn"	"-M2"	NA	NA
"23517"	"2.T"	"V"	"16b-JJ)"	"2.75"	"0.25"	"1"	"-M2"	"B-"	"B073.krn"	"-m2"	NA	NA
"23518"	"2.T"	"V"	"4a'"	"3"	"1"	"7"	"-m2"	"B-"	"B073.krn"	"+d5"	NA	NA
"23519"	"4T"	"V/vi"	"4ee-'"	"4"	"1"	"4"	"+d5"	"B-"	"B073.krn"	"-m2"	NA	NA
"23520"	"1T"	"vi"	"4dd'"	"1"	"1"	"3"	"-m2"	"B-"	"B073.krn"	"+m6"	NA	NA
"23522"	"1T"	"vi"	"(16bb-LL"	"2"	"0.25"	"1"	"+m6"	"B-"	"B073.krn"	"-m2"	NA	NA
"23523"	"1T"	"vi"	"16aa"	"2.25"	"0.25"	"7"	"-m2"	"B-"	"B073.krn"	"+m2"	NA	NA
"23524"	"1T"	"vi"	"16bb-"	"2.5"	"0.25"	"1"	"+m2"	"B-"	"B073.krn"	"+M2"	NA	NA
"23525"	"1T"	"vi"	"16cccJJ)"	"2.75"	"0.25"	"2"	"+M2"	"B-"	"B073.krn"	"-M2"	NA	NA
"23526"	"1T"	"vi"	"4bb-'"	"3"	"1"	"1"	"-M2"	"B-"	"B073.krn"	"-m3"	NA	NA
"23530"	"1P"	"V7/V"	"(16ggLL"	"2"	"0.25"	"6"	"-m3"	"B-"	"B073.krn"	"-m2"	NA	NA
"23531"	"1P"	"V7/V"	"16ff#"	"2.25"	"0.25"	"5+"	"-m2"	"B-"	"B073.krn"	"+m2"	NA	NA
"23532"	"1P"	"V7/V"	"16gg"	"2.5"	"0.25"	"6"	"+m2"	"B-"	"B073.krn"	"+M2"	NA	NA
"23533"	"1P"	"V7/V"	"16aaJJ)"	"2.75"	"0.25"	"7"	"+M2"	"B-"	"B073.krn"	"-M2"	NA	NA
"23534"	"1P"	"V7/V"	"4gg'"	"3"	"1"	"6"	"-M2"	"B-"	"B073.krn"	"-M2"	NA	NA
"23538"	"1D"	"C"	"(16ffLL"	"2"	"0.25"	"5"	"-M2"	"B-"	"B073.krn"	"-m2"	NA	NA
"23539"	"1D"	"C"	"16ee"	"2.25"	"0.25"	"4+"	"-m2"	"B-"	"B073.krn"	"+m2"	NA	NA
"23540"	"1D"	"C"	"16ff"	"2.5"	"0.25"	"5"	"+m2"	"B-"	"B073.krn"	"+M2"	NA	NA
"23541"	"1D"	"C"	"16ggJJ)"	"2.75"	"0.25"	"6"	"+M2"	"B-"	"B073.krn"	"-M2"	NA	NA
"23542"	"1D"	"C"	"4ff'"	"3"	"1"	"5"	"-M2"	"B-"	"B073.krn"	"-P8"	NA	NA
"23546"	"1D"	"V"	"(16fLL"	"2"	"0.25"	"5"	"-P8"	"B-"	"B073.krn"	"-m2"	NA	NA
"23547"	"1D"	"V"	"16e"	"2.25"	"0.25"	"4+"	"-m2"	"B-"	"B073.krn"	"+m2"	NA	NA
"23548"	"1D"	"V"	"16f"	"2.5"	"0.25"	"5"	"+m2"	"B-"	"B073.krn"	"+M2"	NA	NA
"23549"	"1D"	"V"	"16gJJ)"	"2.75"	"0.25"	"6"	"+M2"	"B-"	"B073.krn"	"-M2"	NA	NA
"23550"	"1D"	"V"	"4f'"	"3"	"1"	"5"	"-M2"	"B-"	"B073.krn"	"+P8"	NA	NA
"23562"	"1T"	"V"	"4ff'"	"1"	"1"	"5"	"+P8"	"B-"	"B073.krn"	"P1"	NA	NA
"23563"	"1T"	"V"	"4ff'"	"2"	"1"	"5"	"P1"	"B-"	"B073.krn"	"P1"	NA	NA
"23567"	"1T"	"V"	"4ff'"	"3"	"1"	"5"	"P1"	"B-"	"B073.krn"	"P1"	NA	NA
"23568"	"1T"	"V"	"4ff'"	"4"	"1"	"5"	"P1"	"B-"	"B073.krn"	"P1"	NA	NA
"23572"	"1T"	"I"	"(4ff"	"1"	"1"	"5"	"P1"	"B-"	"B073.krn"	"+P4"	NA	NA
"23573"	"1T"	"I"	"4bb-)"	"2"	"1"	"1"	"+P4"	"B-"	"B073.krn"	"-P11"	NA	NA
"23582"	"1T"	"V"	"4f'"	"1"	"1"	"5"	"-P11"	"B-"	"B073.krn"	"P1"	NA	NA
"23583"	"1T"	"V"	"4f'"	"2"	"1"	"5"	"P1"	"B-"	"B073.krn"	"P1"	NA	NA
"23587"	"1T"	"V"	"4f'"	"3"	"1"	"5"	"P1"	"B-"	"B073.krn"	"P1"	NA	NA
"23588"	"1T"	"V"	"4f'"	"4"	"1"	"5"	"P1"	"B-"	"B073.krn"	"P1"	NA	NA
"23592"	"1T"	"I"	"8f'"	"1"	"0.5"	"5"	"P1"	"B-"	"B073.krn"	"-P4"	NA	NA
"23593"	"1T"	"I"	"(16cL"	"1.5"	"0.25"	"2"	"-P4"	"B-"	"B073.krn"	"+M2"	NA	NA
"23594"	"1T"	"I"	"16dJJ"	"1.75"	"0.25"	"3"	"+M2"	"B-"	"B073.krn"	"+m2"	NA	NA
"23595"	"1T"	"I"	"16e-LL"	"2"	"0.25"	"4"	"+m2"	"B-"	"B073.krn"	"+M2"	NA	NA
"23596"	"1T"	"I"	"16f"	"2.25"	"0.25"	"5"	"+M2"	"B-"	"B073.krn"	"+M2"	NA	NA
"23597"	"1T"	"I"	"16g"	"2.5"	"0.25"	"6"	"+M2"	"B-"	"B073.krn"	"+M2"	NA	NA
"23598"	"1T"	"I"	"16aJJ)"	"2.75"	"0.25"	"7"	"+M2"	"B-"	"B073.krn"	"+m2"	NA	NA
"23599"	"1T"	"I"	"8b-'L"	"3"	"0.5"	"1"	"+m2"	"B-"	"B073.krn"	"+M2"	NA	NA
"23600"	"1T"	"I"	"(16ccL"	"3.5"	"0.25"	"2"	"+M2"	"B-"	"B073.krn"	"+M2"	NA	NA
"23601"	"1T"	"I"	"16ddJJ"	"3.75"	"0.25"	"3"	"+M2"	"B-"	"B073.krn"	"+m2"	NA	NA
"23602"	"1T"	"I"	"16ee-LL"	"4"	"0.25"	"4"	"+m2"	"B-"	"B073.krn"	"+M2"	NA	NA
"23603"	"1T"	"I"	"16ff"	"4.25"	"0.25"	"5"	"+M2"	"B-"	"B073.krn"	"+M2"	NA	NA
"23604"	"1T"	"I"	"16gg"	"4.5"	"0.25"	"6"	"+M2"	"B-"	"B073.krn"	"+M2"	NA	NA
"23605"	"1T"	"I"	"16aaJJ)"	"4.75"	"0.25"	"7"	"+M2"	"B-"	"B073.krn"	"+m2"	NA	NA
"23606"	"1T"	"I"	"4bb-'"	"1"	"1"	"1"	"+m2"	"B-"	"B073.krn"	"-P8"	NA	NA
"23607"	"1T"	"I"	"4b-'"	"2"	"1"	"1"	"-P8"	"B-"	"B073.krn"	"[ccc]"	NA	NA
"23609"	"4T"	"I"	"4ccc"	"2"	"1"	"5"	"[ccc]"	"F"	"B075.krn"	"-m3"	NA	NA
"23610"	"2T"	"I"	"8aa'"	"1"	"0.5"	"3"	"-m3"	"F"	"B075.krn"	"-M3"	NA	NA
"23611"	"2T"	"I"	"8ff'"	"1.5"	"0.5"	"1"	"-M3"	"F"	"B075.krn"	"+M3"	NA	NA
"23612"	"2T"	"I"	"8aa'"	"2"	"0.5"	"3"	"+M3"	"F"	"B075.krn"	"+m3"	NA	NA
"23613"	"2T"	"I"	"8ccc'"	"2.5"	"0.5"	"5"	"+m3"	"F"	"B075.krn"	"-M2"	NA	NA
"23614"	"4T"	"V7"	"4bb-"	"1"	"1"	"4"	"-M2"	"F"	"B075.krn"	"-m2"	NA	NA
"23615"	"4T"	"I"	"4aa"	"2"	"1"	"3"	"-m2"	"F"	"B075.krn"	"-M2"	NA	NA
"23616"	"2T"	"V"	"8gg'"	"1"	"0.5"	"2"	"-M2"	"F"	"B075.krn"	"-M2"	NA	NA
"23617"	"2T"	"V"	"8ff'"	"1.5"	"0.5"	"1"	"-M2"	"F"	"B075.krn"	"-m2"	NA	NA
"23618"	"2T"	"V"	"8ee'"	"2"	"0.5"	"7"	"-m2"	"F"	"B075.krn"	"+m2"	NA	NA
"23619"	"2T"	"V"	"8ff'"	"2.5"	"0.5"	"1"	"+m2"	"F"	"B075.krn"	"+M2"	NA	NA
"23620"	"4T"	"V"	"8gg"	"1"	"0.5"	"2"	"+M2"	"F"	"B075.krn"	"+P4"	NA	NA
"23622"	"4T"	"I"	"4ccc"	"2"	"1"	"5"	"+P4"	"F"	"B075.krn"	"-m3"	NA	NA
"23623"	"2T"	"I"	"8aa'"	"1"	"0.5"	"3"	"-m3"	"F"	"B075.krn"	"-M3"	NA	NA
"23624"	"2T"	"I"	"8ff'"	"1.5"	"0.5"	"1"	"-M3"	"F"	"B075.krn"	"+M3"	NA	NA
"23625"	"2T"	"I"	"8aa'"	"2"	"0.5"	"3"	"+M3"	"F"	"B075.krn"	"+m3"	NA	NA
"23626"	"2T"	"I"	"8ccc'"	"2.5"	"0.5"	"5"	"+m3"	"F"	"B075.krn"	"-M2"	NA	NA
"23627"	"4T"	"V7"	"4bb-"	"1"	"1"	"4"	"-M2"	"F"	"B075.krn"	"-m2"	NA	NA
"23628"	"4T"	"I"	"4aa"	"2"	"1"	"3"	"-m2"	"F"	"B075.krn"	"-M2"	NA	NA
"23629"	"4P"	"ii"	"8gg"	"1"	"0.5"	"2"	"-M2"	"F"	"B075.krn"	"P1"	NA	NA
"23630"	"4P"	"ii"	"8gg"	"1.5"	"0.5"	"2"	"P1"	"F"	"B075.krn"	"-m3"	NA	NA
"23631"	"4D"	"V7"	"8ee"	"2"	"0.5"	"7"	"-m3"	"F"	"B075.krn"	"-M2"	NA	NA
"23632"	"4D"	"V7"	"16dd"	"2.5"	"0.25"	"6"	"-M2"	"F"	"B075.krn"	"+M2"	NA	NA
"23633"	"4D"	"V7"	"16eeJJ)"	"2.75"	"0.25"	"7"	"+M2"	"F"	"B075.krn"	"+m2"	NA	NA
"23634"	"4T"	"I"	"8ff"	"1"	"0.5"	"1"	"+m2"	"F"	"B075.krn"	"[cc]"	NA	NA
"23636"	"4T"	"I"	"4cc"	"2"	"1"	"5"	"[cc]"	"F"	"B075.krn"	"-m3"	NA	NA
"23637"	"2T"	"I"	"8a"	"1"	"1"	"3"	"-m3"	"F"	"B075.krn"	"-M3"	NA	NA
"23638"	"2T"	"I"	"8f"	"1.5"	"1"	"1"	"-M3"	"F"	"B075.krn"	"+M3"	NA	NA
"23639"	"2T"	"I"	"8a"	"2"	"0.5"	"3"	"+M3"	"F"	"B075.krn"	"+m3"	NA	NA
"23640"	"2T"	"I"	"8cc"	"2.5"	"0.5"	"5"	"+m3"	"F"	"B075.krn"	"-M2"	NA	NA
"23642"	"4T"	"V7"	"4b-"	"1"	"1"	"4"	"-M2"	"F"	"B075.krn"	"-m2"	NA	NA
"23643"	"4T"	"I"	"4a"	"2"	"1"	"3"	"-m2"	"F"	"B075.krn"	"-M2"	NA	NA
"23644"	"2T"	"V"	"8g"	"1"	"0.5"	"2"	"-M2"	"F"	"B075.krn"	"-M2"	NA	NA
"23645"	"2T"	"V"	"8f"	"1.5"	"0.5"	"1"	"-M2"	"F"	"B075.krn"	"-m2"	NA	NA
"23646"	"2T"	"V"	"8e"	"2"	"0.5"	"7"	"-m2"	"F"	"B075.krn"	"+m2"	NA	NA
"23647"	"2T"	"V"	"8f"	"2.5"	"0.5"	"1"	"+m2"	"F"	"B075.krn"	"+M2"	NA	NA
"23648"	"4T"	"V"	"4g"	"1"	"1"	"2"	"+M2"	"F"	"B075.krn"	"+P4"	NA	NA
"23649"	"4T"	"I"	"4cc"	"2"	"1"	"5"	"+P4"	"F"	"B075.krn"	"-m3"	NA	NA
"23650"	"2T"	"I"	"8a"	"1"	"0.5"	"3"	"-m3"	"F"	"B075.krn"	"-M3"	NA	NA
"23651"	"2T"	"I"	"8f"	"1.5"	"0.5"	"1"	"-M3"	"F"	"B075.krn"	"+M3"	NA	NA
"23652"	"2T"	"I"	"8a"	"2"	"0.5"	"3"	"+M3"	"F"	"B075.krn"	"+m3"	NA	NA
"23653"	"2T"	"I"	"8cc"	"2.5"	"0.5"	"5"	"+m3"	"F"	"B075.krn"	"-M2"	NA	NA
"23655"	"4T"	"V7"	"4b-"	"1"	"1"	"4"	"-M2"	"F"	"B075.krn"	"-m2"	NA	NA
"23656"	"4T"	"I"	"4a"	"2"	"1"	"3"	"-m2"	"F"	"B075.krn"	"-M2"	NA	NA
"23657"	"4D"	"C/V"	"8g"	"1"	"0.5"	"2"	"-M2"	"F"	"B075.krn"	"P1"	NA	NA
"23658"	"4D"	"C/V"	"8g"	"1.5"	"0.5"	"2"	"P1"	"F"	"B075.krn"	"+M2"	NA	NA
"23659"	"4D"	"V7/V"	"8a"	"2"	"0.5"	"3"	"+M2"	"F"	"B075.krn"	"+M2"	NA	NA
"23660"	"4D"	"V7/V"	"8b"	"2.5"	"0.5"	"4+"	"+M2"	"F"	"B075.krn"	"+m2"	NA	NA
"23661"	"2D"	"I/V"	"4cc"	"1"	"1"	"5"	"+m2"	"F"	"B075.krn"	"+M2"	NA	NA
"23662"	"2D"	"I/V"	"8dd"	"2"	"0.5"	"6"	"+M2"	"F"	"B075.krn"	"+M2"	NA	NA
"23663"	"2D"	"I/V"	"8ee"	"2.5"	"0.5"	"7"	"+M2"	"F"	"B075.krn"	"-M3"	NA	NA
"23664"	"4D"	"C/V"	"(8ccL"	"1"	"0.5"	"5"	"-M3"	"F"	"B075.krn"	"+P5"	NA	NA
"23665"	"4D"	"C/V"	"16ggJk)"	"1.5"	"0.25"	"2"	"+P5"	"F"	"B075.krn"	"-m6"	NA	NA
"23667"	"4D"	"V/V"	"(8bL"	"2"	"0.5"	"4+"	"-m6"	"F"	"B075.krn"	"+m6"	NA	NA
"23668"	"4D"	"V/V"	"16ggJk)"	"2.5"	"0.25"	"2"	"+m6"	"F"	"B075.krn"	"-P5"	NA	NA
"23670"	"2D"	"I/V"	"4cc"	"1"	"1"	"5"	"-P5"	"F"	"B075.krn"	"+M2"	NA	NA
"23671"	"2D"	"I/V"	"8dd"	"2"	"0.5"	"6"	"+M2"	"F"	"B075.krn"	"+M2"	NA	NA
"23672"	"2D"	"I/V"	"8ee"	"2.5"	"0.5"	"7"	"+M2"	"F"	"B075.krn"	"-M3"	NA	NA
"23673"	"4D"	"C/V"	"(8ccL"	"1"	"0.5"	"5"	"-M3"	"F"	"B075.krn"	"+P5"	NA	NA
"23674"	"4D"	"C/V"	"16ggJk)"	"1.5"	"0.25"	"2"	"+P5"	"F"	"B075.krn"	"-m6"	NA	NA
"23676"	"4D"	"V/V"	"(8bL"	"2"	"0.5"	"4+"	"-m6"	"F"	"B075.krn"	"+m6"	NA	NA
"23677"	"4D"	"V/V"	"16ggJk)"	"2.5"	"0.25"	"2"	"+m6"	"F"	"B075.krn"	"-P5"	NA	NA
"23679"	"4D"	"I/V"	"4cc;"	"1"	"1"	"5"	"-P5"	"F"	"B075.krn"	"[cc]"	NA	NA
"23680"	"4T"	"I"	"4cc"	"2"	"1"	"5"	"[cc]"	"F"	"B075.krn"	"-m3"	NA	NA
"23681"	"2T"	"I"	"(8aL"	"1"	"0.5"	"3"	"-m3"	"F"	"B075.krn"	"-M3"	NA	NA
"23682"	"2T"	"I"	"8fJ"	"1.5"	"0.5"	"1"	"-M3"	"F"	"B075.krn"	"+P8"	NA	NA
"23683"	"2T"	"I"	"8ff"	"2"	"0.5"	"1"	"+P8"	"F"	"B075.krn"	"-P4"	NA	NA
"23684"	"2T"	"I"	"8ccJ)"	"2.5"	"0.5"	"5"	"-P4"	"F"	"B075.krn"	"-M2"	NA	NA
"23686"	"4T"	"V7"	"4b-"	"1"	"1"	"4"	"-M2"	"F"	"B075.krn"	"-m2"	NA	NA
"23688"	"4T"	"I"	"4a"	"2"	"1"	"3"	"-m2"	"F"	"B075.krn"	"-M2"	NA	NA
"23690"	"2T"	"V7"	"8g"	"1"	"0.5"	"2"	"-M2"	"F"	"B075.krn"	"-M2"	NA	NA
"23691"	"2T"	"V7"	"8fJ"	"1.5"	"0.5"	"1"	"-M2"	"F"	"B075.krn"	"+P4"	NA	NA
"23693"	"2T"	"V7"	"8b-"	"2"	"0.5"	"4"	"+P4"	"F"	"B075.krn"	"-m2"	NA	NA
"23694"	"2T"	"V7"	"8a"	"2.5"	"0.5"	"3"	"-m2"	"F"	"B075.krn"	"-M2"	NA	NA
"23695"	"4T"	"V"	"4g"	"1"	"1"	"2"	"-M2"	"F"	"B075.krn"	"+P4"	NA	NA
"23696"	"4T"	"I"	"4cc"	"2"	"1"	"5"	"+P4"	"F"	"B075.krn"	"P1"	NA	NA
"23697"	"2T"	"I"	"8cc"	"1"	"0.5"	"5"	"P1"	"F"	"B075.krn"	"-m3"	NA	NA
"23698"	"2T"	"I"	"8aJ"	"1.5"	"0.5"	"3"	"-m3"	"F"	"B075.krn"	"+m6"	NA	NA
"23699"	"2T"	"I"	"(16ffLL"	"2"	"0.25"	"1"	"+m6"	"F"	"B075.krn"	"-m2"	NA	NA
"23700"	"2T"	"I"	"16ee"	"2.25"	"0.25"	"7"	"-m2"	"F"	"B075.krn"	"-M2"	NA	NA
"23701"	"2T"	"I"	"16dd"	"2.5"	"0.25"	"6"	"-M2"	"F"	"B075.krn"	"-M2"	NA	NA
"23702"	"2T"	"I"	"16ccJJ)"	"2.75"	"0.25"	"5"	"-M2"	"F"	"B075.krn"	"-M2"	NA	NA
"23704"	"4T"	"V7"	"4b-"	"1"	"1"	"4"	"-M2"	"F"	"B075.krn"	"-m2"	NA	NA
"23705"	"4T"	"I"	"4a"	"2"	"1"	"3"	"-m2"	"F"	"B075.krn"	"-M2"	NA	NA
"23706"	"2D"	"V7/V"	"8gL"	"1"	"0.5"	"2"	"-M2"	"F"	"B075.krn"	"+m7"	NA	NA
"23707"	"2D"	"V7/V"	"8ffJ"	"1.5"	"0.5"	"1"	"+m7"	"F"	"B075.krn"	"-m2"	NA	NA
"23708"	"2D"	"V7/V"	"8eeL"	"2"	"0.5"	"7"	"-m2"	"F"	"B075.krn"	"-M2"	NA	NA
"23709"	"2D"	"V7/V"	"8dd"	"2.5"	"0.5"	"6"	"-M2"	"F"	"B075.krn"	"-M2"	NA	NA
"23710"	"4D"	"V"	"4cc"	"1"	"1"	"5"	"-M2"	"F"	"B075.krn"	"[gg]"	NA	NA
"23712"	"4D"	"I/V"	"(16ggLL"	"2"	"0.25"	"2"	"[gg]"	"F"	"B075.krn"	"-M2"	NA	NA
"23713"	"4D"	"I/V"	"16ff"	"2.25"	"0.25"	"1"	"-M2"	"F"	"B075.krn"	"-m2"	NA	NA
"23714"	"4D"	"I/V"	"16ee"	"2.5"	"0.25"	"7"	"-m2"	"F"	"B075.krn"	"-M2"	NA	NA
"23715"	"4D"	"I/V"	"16ddJJ)"	"2.75"	"0.25"	"6"	"-M2"	"F"	"B075.krn"	"-M2"	NA	NA
"23717"	"4D"	"I/V"	"(16ccLL"	"1"	"0.25"	"5"	"-M2"	"F"	"B075.krn"	"-m2"	NA	NA
"23718"	"4D"	"I/V"	"16b"	"1.25"	"0.25"	"4+"	"-m2"	"F"	"B075.krn"	"+m2"	NA	NA
"23719"	"4D"	"I/V"	"16cc"	"1.5"	"0.25"	"5"	"+m2"	"F"	"B075.krn"	"+M3"	NA	NA
"23720"	"4D"	"I/V"	"16eeJJ)"	"1.75"	"0.25"	"7"	"+M3"	"F"	"B075.krn"	"-M2"	NA	NA
"23722"	"4D"	"V7/V"	"(16ddLL"	"2"	"0.25"	"6"	"-M2"	"F"	"B075.krn"	"-M2"	NA	NA
"23723"	"4D"	"V7/V"	"16cc"	"2.25"	"0.25"	"5"	"-M2"	"F"	"B075.krn"	"+M2"	NA	NA
"23724"	"4D"	"V7/V"	"16dd"	"2.5"	"0.25"	"6"	"+M2"	"F"	"B075.krn"	"-m3"	NA	NA
"23725"	"4D"	"V7/V"	"16bJJ)"	"2.75"	"0.25"	"4+"	"-m3"	"F"	"B075.krn"	"+m2"	NA	NA
"23726"	"2D"	"I/V"	"4cc"	"1"	"1"	"5"	"+m2"	"F"	"B075.krn"	"+P5"	NA	NA
"23728"	"2D"	"I/V"	"(16ggLL"	"2"	"0.25"	"2"	"+P5"	"F"	"B075.krn"	"-M2"	NA	NA
"23729"	"2D"	"I/V"	"16ff"	"2.25"	"0.25"	"1"	"-M2"	"F"	"B075.krn"	"-m2"	NA	NA
"23730"	"2D"	"I/V"	"16ee"	"2.5"	"0.25"	"7"	"-m2"	"F"	"B075.krn"	"-M2"	NA	NA
"23731"	"2D"	"I/V"	"16ddJJ)"	"2.75"	"0.25"	"6"	"-M2"	"F"	"B075.krn"	"-M2"	NA	NA
"23733"	"4D"	"I/V"	"(16ccLL"	"1"	"0.25"	"5"	"-M2"	"F"	"B075.krn"	"-m2"	NA	NA
"23734"	"4D"	"I/V"	"16b"	"1.25"	"0.25"	"4+"	"-m2"	"F"	"B075.krn"	"+m2"	NA	NA
"23735"	"4D"	"I/V"	"16cc"	"1.5"	"0.25"	"5"	"+m2"	"F"	"B075.krn"	"+M3"	NA	NA
"23736"	"4D"	"I/V"	"16eeJJ)"	"1.75"	"0.25"	"7"	"+M3"	"F"	"B075.krn"	"-M2"	NA	NA
"23738"	"4D"	"V7/V"	"(16ddLL"	"2"	"0.25"	"6"	"-M2"	"F"	"B075.krn"	"-M2"	NA	NA
"23739"	"4D"	"V7/V"	"16cc"	"2.25"	"0.25"	"5"	"-M2"	"F"	"B075.krn"	"+M2"	NA	NA
"23740"	"4D"	"V7/V"	"16dd"	"2.5"	"0.25"	"6"	"+M2"	"F"	"B075.krn"	"-m3"	NA	NA
"23741"	"4D"	"V7/V"	"16bJJ)"	"2.75"	"0.25"	"4+"	"-m3"	"F"	"B075.krn"	"+m2"	NA	NA
"23742"	"4D"	"I/V"	"8cc"	"1"	"0.5"	"5"	"+m2"	"F"	"B075.krn"	"P1"	NA	NA
"23744"	"4D"	"vi/V"	"4cc"	"2"	"1"	"5"	"P1"	"F"	"B075.krn"	"+M2"	NA	NA
"23745"	"2D"	"V7/V/V"	"8dd"	"1"	"0.5"	"6"	"+M2"	"F"	"B075.krn"	"-M2"	NA	NA
"23746"	"2D"	"V7/V/V"	"8cc"	"1.5"	"0.5"	"5"	"-M2"	"F"	"B075.krn"	"-M2"	NA	NA
"23747"	"2D"	"V7/V/V"	"8b-'"	"2"	"0.5"	"4"	"-M2"	"F"	"B075.krn"	"-m2"	NA	NA
"23748"	"2D"	"V7/V/V"	"8a'"	"2.5"	"0.5"	"3"	"-m2"	"F"	"B075.krn"	"+m2"	NA	NA
"23749"	"2D"	"V/V"	"8b-"	"1"	"0.5"	"4"	"+m2"	"F"	"B075.krn"	"P1"	NA	NA
"23751"	"2D"	"V/V"	"4b-"	"2"	"1"	"4"	"P1"	"F"	"B075.krn"	"+M2"	NA	NA
"23753"	"2D"	"V7"	"8cc"	"1"	"0.5"	"5"	"+M2"	"F"	"B075.krn"	"-M2"	NA	NA
"23754"	"2D"	"V7"	"8b-"	"1.5"	"0.5"	"4"	"-M2"	"F"	"B075.krn"	"-m2"	NA	NA
"23755"	"2D"	"V7"	"8a'"	"2"	"0.5"	"3"	"-m2"	"F"	"B075.krn"	"-M2"	NA	NA
"23756"	"2D"	"V7"	"8g'"	"2.5"	"0.5"	"2"	"-M2"	"F"	"B075.krn"	"+M2"	NA	NA
"23757"	"4T"	"I"	"4a"	"1"	"1"	"3"	"+M2"	"F"	"B075.krn"	"[cc]"	NA	NA
"23759"	"4T"	"I"	"4cc"	"2"	"1"	"5"	"[cc]"	"F"	"B075.krn"	"-m3"	NA	NA
"23760"	"2T"	"I"	"8a"	"1"	"0.5"	"3"	"-m3"	"F"	"B075.krn"	"-M3"	NA	NA
"23761"	"2T"	"I"	"8f"	"1.5"	"0.5"	"1"	"-M3"	"F"	"B075.krn"	"+M3"	NA	NA
"23762"	"2T"	"I"	"8a"	"2"	"0.5"	"3"	"+M3"	"F"	"B075.krn"	"+m3"	NA	NA
"23763"	"2T"	"I"	"8cc"	"2.5"	"0.5"	"5"	"+m3"	"F"	"B075.krn"	"-M2"	NA	NA
"23765"	"4T"	"V7"	"4b-"	"1"	"1"	"4"	"-M2"	"F"	"B075.krn"	"-m2"	NA	NA
"23766"	"4T"	"I"	"4a"	"2"	"1"	"3"	"-m2"	"F"	"B075.krn"	"+P4"	NA	NA
"23767"	"4P"	"IV"	"8dd'"	"1"	"0.5"	"6"	"+P4"	"F"	"B075.krn"	"P1"	NA	NA
"23768"	"4P"	"IV"	"8dd'"	"1.5"	"0.5"	"6"	"P1"	"F"	"B075.krn"	"-M2"	NA	NA
"23769"	"4D"	"V7"	"8cc'"	"2"	"0.5"	"5"	"-M2"	"F"	"B075.krn"	"-m6"	NA	NA
"23770"	"4D"	"V7"	"8e'"	"2.5"	"0.5"	"7"	"-m6"	"F"	"B075.krn"	"+m2"	NA	NA
"23771"	"2T"	"I"	"4f"	"1"	"1"	"1"	"+m2"	"F"	"B075.krn"	"[cc]"	NA	NA
"23773"	"2T"	"V7"	"12ccL"	"1"	"0.333333"	"5"	"[cc]"	"F"	"B075.krn"	"+M3"	NA	NA
"23774"	"2T"	"V7"	"12ee"	"1.33333"	"0.333333"	"7"	"+M3"	"F"	"B075.krn"	"-M2"	NA	NA
"23776"	"2T"	"V7"	"12ddJ"	"1.66667"	"0.333333"	"6"	"-M2"	"F"	"B075.krn"	"-M2"	NA	NA
"23777"	"2T"	"V7"	"12ccL"	"2"	"0.333333"	"5"	"-M2"	"F"	"B075.krn"	"+M2"	NA	NA
"23778"	"2T"	"V7"	"12dd"	"2.33333"	"0.333333"	"6"	"+M2"	"F"	"B075.krn"	"+M2"	NA	NA
"23780"	"2T"	"V7"	"12eeJ"	"2.66667"	"0.333333"	"7"	"+M2"	"F"	"B075.krn"	"+m2"	NA	NA
"23781"	"2T"	"I"	"12ffL"	"1"	"0.333333"	"1"	"+m2"	"F"	"B075.krn"	"+M3"	NA	NA
"23782"	"2T"	"I"	"12aa"	"1.33333"	"0.333333"	"3"	"+M3"	"F"	"B075.krn"	"-M2"	NA	NA
"23784"	"2T"	"I"	"12ggJ"	"1.66667"	"0.333333"	"2"	"-M2"	"F"	"B075.krn"	"-M2"	NA	NA
"23785"	"2T"	"I"	"12ffL"	"2"	"0.333333"	"1"	"-M2"	"F"	"B075.krn"	"-m2"	NA	NA
"23786"	"2T"	"I"	"12ee"	"2.33333"	"0.333333"	"7"	"-m2"	"F"	"B075.krn"	"-M2"	NA	NA
"23788"	"2T"	"I"	"12ddJ"	"2.66667"	"0.333333"	"6"	"-M2"	"F"	"B075.krn"	"-M2"	NA	NA
"23789"	"2T"	"V"	"12ccL"	"1"	"0.333333"	"5"	"-M2"	"F"	"B075.krn"	"-m2"	NA	NA
"23790"	"2T"	"V"	"12b"	"1.33333"	"0.333333"	"4+"	"-m2"	"F"	"B075.krn"	"+m2"	NA	NA
"23792"	"2T"	"V"	"12ccJ"	"1.66667"	"0.333333"	"5"	"+m2"	"F"	"B075.krn"	"P1"	NA	NA
"23793"	"2T"	"V"	"12ccL"	"2"	"0.333333"	"5"	"P1"	"F"	"B075.krn"	"+M2"	NA	NA
